IdCompra,Fecha,IdProducto,Cantidad,Precio,IdProveedor
1,2015-01-30,42832,13,560.51,12
2,2015-01-30,42833,11,497.58,7
3,2015-01-30,42834,1,588.50,6
4,2015-01-30,42835,9,567.66,14
5,2015-01-30,42839,14,231.31,2
6,2015-01-30,42840,14,232.07,13
7,2015-01-30,42841,8,236.98,4
8,2015-01-30,42842,4,255.33,4
9,2015-01-30,42845,5,578.61,12
10,2015-01-30,42855,1,809.04,6
11,2015-01-30,42857,8,379.77,3
12,2015-01-30,42858,11,365.37,7
13,2015-01-30,42860,5,447.15,11
14,2015-01-30,42862,4,310.02,6
15,2015-01-30,42984,7,173.64,2
16,2015-01-30,42907,6,316.37,5
17,2015-01-30,42908,4,1081.16,13
18,2015-01-30,42911,8,1409.06,7
19,2015-01-30,42914,4,982.00,8
20,2015-01-30,42915,17,1225.11,13
21,2015-01-30,42917,7,97656.30,13
22,2015-01-30,42923,3,505.66,14
23,2015-01-30,42924,5,381.21,12
24,2015-01-30,42934,10,1187.08,1
25,2015-01-30,42939,13,1793.33,10
26,2015-01-30,42940,6,1515.75,4
27,2015-01-30,42941,6,2009.45,2
28,2015-01-30,42943,8,1706.29,12
29,2015-01-30,42944,5,2464.33,10
30,2015-01-30,42945,12,2082.62,7
31,2015-01-30,42947,4,1939.23,2
32,2015-01-30,42950,12,1685.63,11
33,2015-01-30,42952,8,3182.35,12
34,2015-01-30,42954,7,1825.08,4
35,2015-01-30,42955,2,1816.93,5
36,2015-01-30,42958,4,2786.46,2
37,2015-01-30,42959,8,2919.61,8
38,2015-01-30,42961,4,1750.98,12
39,2015-01-30,42963,10,1466.30,3
40,2015-01-30,42964,4,2035.16,11
41,2015-01-30,42966,10,2193.51,10
42,2015-01-30,42967,6,2447.26,5
43,2015-01-30,42968,8,2200.98,2
44,2015-01-30,42969,5,2591.87,2
45,2015-01-30,42970,17,2284.76,7
46,2015-01-30,42971,9,1872.10,11
47,2015-01-30,43030,4,785.50,3
48,2015-01-30,43031,8,929.22,12
49,2015-01-30,43032,6,730.20,11
50,2015-01-30,43033,12,746.46,13
51,2015-01-30,43037,9,720.86,4
52,2015-01-30,43039,3,545.04,4
53,2015-01-30,43041,8,610.06,4
54,2015-01-30,42816,16,996.80,13
55,2015-01-30,42818,3,1149.29,7
56,2015-01-30,42819,35,645.87,2
57,2015-01-30,42821,13,513.26,13
58,2015-01-30,42823,11,680.69,11
59,2015-01-30,42824,5,355.80,12
60,2015-01-30,42826,4,405.87,10
61,2015-01-30,42827,8,312.44,8
62,2015-01-30,42829,6,711.69,3
63,2015-01-30,42830,7,372.36,9
64,2015-01-30,42831,6,235.16,2
65,2015-01-30,42810,4,809.58,3
66,2015-01-30,42811,9,1814.02,3
67,2015-01-30,42813,6,245.88,12
68,2015-01-30,42814,15,263.09,8
69,2015-01-30,42815,11,447.69,7
70,2015-01-30,42904,10,99.05,6
71,2015-01-30,42905,26,335.59,3
72,2015-01-30,42906,5,213.35,5
73,2015-01-30,42737,2,1161.82,6
74,2015-01-30,42865,5,142.02,3
75,2015-01-30,42866,18,153.69,2
76,2015-01-30,42872,28,401.30,13
77,2015-01-30,42875,15,378.23,11
78,2015-01-30,42877,2,383.54,8
79,2015-01-30,42878,7,422.96,6
80,2015-01-30,42880,20,408.96,13
81,2015-01-30,42881,11,313.59,1
82,2015-01-30,42884,8,327.54,7
83,2015-01-30,42885,4,306.01,8
84,2015-01-30,42886,23,298.82,6
85,2015-01-30,42887,11,305.28,3
86,2015-01-30,42888,7,318.44,6
87,2015-01-30,42890,12,311.06,11
88,2015-01-30,42891,7,337.56,4
89,2015-01-30,42892,8,375.41,11
90,2015-01-30,42894,8,318.90,12
91,2015-01-30,42896,7,338.12,8
92,2015-01-30,42897,13,311.28,14
93,2015-01-30,42898,13,323.51,4
94,2015-01-30,42985,5,1069.55,10
95,2015-01-30,42986,5,214.49,13
96,2015-01-30,42989,3,263.83,12
97,2015-01-30,42991,21,326.45,10
98,2015-01-30,42992,5,443.61,13
99,2015-01-30,42994,15,426.56,11
100,2015-01-30,42995,10,263.77,11
101,2015-01-30,42997,8,330.07,4
102,2015-01-30,42998,17,359.22,8
103,2015-01-30,43000,7,280.51,10
104,2015-01-30,43002,5,276.11,7
105,2015-01-30,43003,12,311.25,7
106,2015-01-30,43004,12,271.67,7
107,2015-01-30,43005,4,275.24,6
108,2015-01-30,43012,3,324.51,10
109,2015-01-30,43013,13,230.76,1
110,2015-01-30,43014,3,385.80,2
